id_orden,sku,volumen_c,unidades_c,importe_c
1,7795968562661,44.04,367,6104.19
1,7797526524909,180.5,361,16308.26
1,7799612745767,44.88,374,6224.71
1,7799466783416,99.25,397,9493.68
1,7793866147089,240.0,480,29037.93
1,7795710525535,663.0,442,94233.91
1,7795167795692,218.5,437,29604.74
1,7795200100115,51.12,426,4866.2
2,7799578875868,433.0,433,49328.07
2,7793370609414,404.0,404,52982.05
2,7793959114249,198.0,396,29314.12
2,7796880881937,457.0,457,45278.27
2,7795772545844,147.0,294,15717.78
2,7795876511278,1212.0,404,133527.88
2,7791769019834,146.0,292,18608.81
2,7799738166859,32.87,173,4581.57
2,7792127359005,409.5,455,48384.41
2,7799662733254,464.0,464,46616.73
2,7792129667244,186.0,186,23632.98
2,7799780730883,43.35,289,5866.43
2,7797737523726,320.0,320,33663.5
3,7799612745767,21.0,175,3098.29
3,7793915372349,432.0,288,44840.76
3,7795167795692,93.0,186,12631.78
3,7795710525535,501.0,334,44456.49
3,7793866147089,129.5,259,19168.83
3,7799466783416,58.5,234,6437.74
3,7795200100115,26.52,221,2466.36
3,7799380866850,508.5,339,72977.03
3,7797526524909,175.0,350,22733.1
3,7795968562661,49.92,416,6097.17
3,7796402667027,119.25,477,14757.21
4,7793160383060,247.0,494,27785.18
4,7791113698141,459.0,459,60727.37
4,7791752281197,39.0,260,5071.31
4,7792818242418,483.0,483,45090.96
4,7797140566230,22.42,118,2626.6
4,7797568417172,220.0,440,30326.82
4,7793384639089,121.0,121,11529.64
4,7798371091244,1458.0,486,190644.76
4,7796165432872,249.0,249,28485.37
4,7795482375953,167.5,335,24055.5
4,7795533553366,318.0,318,29761.19
4,7791579504883,339.0,339,27385.22
4,7798039207470,215.0,430,24444.87
4,7794175122449,246.0,492,20793.99
4,7797500469628,99.5,199,10407.91
5,7792930999145,56.4,470,8393.35
5,7793590590734,151.0,302,15797.75
5,7791772737712,94.75,379,10337.07
5,7791657957213,229.5,459,31208.0
5,7797634805662,31.0,124,4128.27
5,7791782245090,103.0,103,12639.43
5,7799933108680,194.0,388,25054.89
5,7794229027716,44.04,367,4336.27
5,7796566923584,345.0,345,45911.32
5,7796854334473,54.0,360,7044.08
5,7795395292112,31.0,124,2916.72
5,7791283265671,53.52,446,5335.05
6,7799238179726,714.0,238,70253.35
6,7793936047272,231.5,463,25187.93
6,7793173940752,161.5,323,21577.57
6,7792973368617,400.0,400,59848.65
6,7792738135139,191.0,191,21037.74
6,7792315166060,247.0,247,33715.67
6,7793642277758,247.0,247,24670.17
6,7795509463547,201.0,402,18902.87
6,7791087336434,106.5,213,14637.64
6,7791221676171,29.4,245,3390.64
6,7796747121141,337.5,225,40146.19
6,7795401515557,603.0,402,88730.76
6,7792569460907,232.5,155,31942.84
6,7795353931164,80.0,160,7145.96
7,7795353931164,220.5,441,19313.57
7,7793642277758,471.0,471,63731.79
7,7791221676171,39.12,326,4756.46
7,7792315166060,124.0,124,17094.59
7,7792569460907,438.0,292,35386.35
7,7796747121141,448.5,299,37464.83
7,7799238179726,1377.0,459,132317.46
7,7792738135139,404.0,404,36397.38
7,7794049802816,369.0,246,51182.09
8,7797976595080,152.5,305,16781.79
8,7798679063346,92.0,184,10109.89
8,7799184176572,103.5,414,13801.84
8,7798577934453,224.0,280,22565.89
8,7796346579358,104.0,208,15281.26
8,7793597009590,189.0,378,21876.65
8,7791038257647,97.75,391,7971.55
9,7798698334090,208.0,208,20829.56
9,7799054162811,146.0,146,21000.89
9,7796917216251,38.38,202,3131.34
9,7794838273283,359.0,359,49860.94
9,7798810793548,179.0,179,15378.36
9,7795131319733,25.65,171,3283.31
10,7792288095230,17.28,144,1854.18
10,7799468376509,278.4,348,29204.77
10,7797279633943,37.95,253,5352.39
10,7797321560146,113.75,455,12570.45
10,7794551248787,59.85,399,4948.3
10,7795882073294,121.8,406,18096.52
10,7797032501922,702.0,234,101367.03
10,7793770772030,28.8,192,2459.42
10,7793587361847,162.0,162,15114.31
10,7794792452258,56.1,374,7816.71
11,7799068408813,496.0,496,53149.34
11,7793376408486,468.0,468,62146.17
11,7792006988474,187.0,374,17757.9
11,7796142707217,51.25,205,7625.3
11,7798426698353,594.0,198,72778.22
11,7791662872727,312.0,104,28447.13
11,7795862782500,66.12,348,5933.19
12,7792884056033,189.0,378,20880.96
12,7795876511278,453.0,151,41756.57
12,7799662733254,402.0,402,58801.26
12,7796394355299,280.0,280,41242.47
12,7793959114249,86.5,173,8749.95
12,7792127359005,338.4,376,39539.8
12,7795772545844,139.5,279,12817.25
12,7799578875868,320.0,320,35592.67
12,7797455053386,62.25,415,5321.45
12,7797737523726,145.0,145,19598.44
12,7796880881937,368.0,368,33795.22
12,7799738166859,74.67,393,8231.68
12,7799780730883,34.2,228,3346.31
13,7793590590734,57.0,114,5667.57
13,7798966257008,232.2,258,30871.64
13,7791772737712,35.25,141,4164.94
13,7791657957213,184.5,369,26221.57
13,7796498224913,118.0,236,14085.06
13,7793175691670,82.0,164,6670.7
13,7796566923584,129.0,129,11380.32
13,7791046611143,111.25,445,11354.82
